,title,originallink,link,description,pubDate
20,"'신혼 6개월차' <b>김해준</b> &quot;몸무게 107.7kg, 인생 최대&quot;…새신랑의 D라인('맛...",https://tenasia.hankyung.com/article/2025032720914,https://m.entertain.naver.com/article/312/0000705912,개그우먼 김승혜와 신혼 생활 6개월 차인 개그맨 <b>김해준</b>이 현재 107.7kg로 인생 최대 몸무게라고 밝힌다. 28일... 본격적인 먹방을 위해 자리를 잡은 문세윤은 <b>김해준</b>의 심상치 않은(?) D라인에 &quot;배로 테이블을 밀 생각이냐?... ,"Fri, 28 Mar 2025 06:23:00 +0900"
21,"유진證 오너 유창수 대표, '20년 집권' 성공… 제자리 주가 과제",https://it.chosun.com/news/articleView.html?idxno=2023092137111,https://it.chosun.com/news/articleView.html?idxno=2023092137111,그간 증권사에서 최장수 CEO로 꼽히던 최희문 전 메리츠증권 대표(13년 7개월)와 <b>김해준</b> 전 교보증권 대표(13년) 재임 기간을 크게 넘어서는 경력이다. 이번 연임의 배경에는 호실적이 있다. 지난해 유진투자증권의... ,"Fri, 28 Mar 2025 06:00:00 +0900"
22,"“107kg 도달, D라인 됐다” <b>김해준</b> 살 훅 찐 근황, 의외의 원인은?",https://health.chosun.com/site/data/html_dir/2025/03/27/2025032702952.html,https://n.news.naver.com/mnews/article/346/0000089581?sid=004,개그맨 <b>김해준</b>(38)이 인생 최대 몸무게를 찍었다고 밝혔다. 28일 방송되는 코미디TV ‘THE 맛있는 녀석들’에 출연한 <b>김해준</b>은 부쩍 살이 늘어난 모습으로 등장했다. 특히 뱃살이 나와 D라인이 된 <b>김해준</b>에 문세윤은 “배로... ,"Fri, 28 Mar 2025 00:02:00 +0900"
23,"<b>김해준</b>, '107.7kg' 찍고 심상치 않은 D라인…김준현도 자제 요구 ('맛녀석...",https://tenasia.hankyung.com/article/2025032721374,https://m.entertain.naver.com/article/312/0000705904,"<b>김해준</b>이 인생 최대 몸무게를 공개한다. 28일 코미디TV 'THE 맛있는 녀석들'에서는 속 보이는 특집으로, 내장 요리인 닭내장탕과 돼지막창구이 맛집을 소개한다. 본격적인 먹방을 위해 자리를 잡은 문세윤은 <b>김해준</b>의... ","Thu, 27 Mar 2025 23:51:00 +0900"
24,"<b>김해준</b>, 인생 최대 몸무게 '107.7㎏' 찍었다…&quot;라디오 주파수네&quot;",http://news.mt.co.kr/mtview.php?no=2025032721324319323,https://m.entertain.naver.com/article/008/0005172212,개그우먼 김승혜와 결혼한 개그맨 <b>김해준</b>이 인생 최대 몸무게를 찍었다고 고백한다. <b>김해준</b>은 28일 방송되는 코디미TV 'THE 맛있는 녀석들'에서 자신의 몸무게를 공개한다. 예고편에 따르면 출연진은 닭내장탕과... ,"Thu, 27 Mar 2025 21:39:00 +0900"
25,"<b>김해준</b>, ♥김승혜와 결혼 후 인생 최대 몸무게 기록...‘최고 몸무게 경...",https://www.sportsworldi.com/newsView/20250327521350,https://m.entertain.naver.com/article/396/0000704332,개그맨 <b>김해준</b>이 인생 최대 몸무게를 공개한다.  사진 = 코미디TV ‘THE 맛있는 녀석들’ 개그맨 <b>김해준</b>이 인생 최대 몸무게를 공개한다. 오는 28일 방송되는 코미디TV 예능 프로그램 ‘THE 맛있는 녀석들’에서는 속... ,"Thu, 27 Mar 2025 21:27:00 +0900"
26,"좁아진 K-코미디 무대, 돌파구 찾는 희극인들",https://www.sportsworldi.com/newsView/20250327518021,https://m.entertain.naver.com/article/396/0000704304,"신윤승, 조수연, 박민성, 정찬민, 신규진, <b>김해준</b>, 최지용, 박세미 등의 신인들을 배출했다. 윤형빈은 “개그맨들이 설 자리를 잃고 무대가 없던 코로나19 시절 아무리 힘들고 어려워져도 이 작은 무대라도 지켜야겠다는... ","Thu, 27 Mar 2025 17:05:00 +0900"
27,"'THE 맛있는 녀석들' <b>김해준</b>, &quot;인생 최대 몸무게 107.7kg 찍었다&quot;",http://www.queen.co.kr/news/articleView.html?idxno=430942,http://www.queen.co.kr/news/articleView.html?idxno=430942,"이날 방송에서 문세윤은 본격적인 먹방을 위해 자리를 잡은 후 <b>김해준</b>의 심상치 않은) D라인에 &quot;배로 테이블을 밀 생각이냐? 왜 이렇게 배가 점점 튀어나오냐&quot;고 놀린다. 이에 <b>김해준</b>은 &quot;인생 최대 몸무게를 찍었다, 이틀... ","Thu, 27 Mar 2025 14:20:00 +0900"
28,"<b>김해준</b>, 결혼하고 너무 행복했나 심각한 D라인 “체중 107.7kg” 고백",https://www.sportsseoul.com/news/read/1504075?ref=naver,https://m.entertain.naver.com/article/468/0001135337,사진 | 코미디TV 개그맨 <b>김해준</b>의 건강에 적신호가 켜졌다. 오는 28일 방송되는 코미디TV ‘THE 맛있는... 이날 방송에서 먹방을 위해 자리 잡은 문세윤은 <b>김해준</b>의 D라인을 보고 “배로 테이블을 밀 생각이냐? 왜 이렇게... ,"Thu, 27 Mar 2025 14:08:00 +0900"
29,"'THE 맛녀석' <b>김해준</b>, &quot;몸무게 107.7kg...인생 최고 몸무게 찍어&quot;",https://www.newsinside.kr/news/articleView.html?idxno=3494446,https://www.newsinside.kr/news/articleView.html?idxno=3494446,"<b>김해준</b>이 인생 최대 몸무게를 공개한다. 28일 코미디TV 'THE 맛있는 녀석들'에서는 속 보이는 특집으로, 내장 요리인 닭내장탕과 돼지막창구이 맛집을 소개한다. 본격적인 먹방을 위해 자리를 잡은 문세윤은 <b>김해준</b>의... ","Thu, 27 Mar 2025 13:36:00 +0900"
30,김승혜와 결혼한 후 인생 최고 몸무게 찍었다는 <b>김해준</b>... &quot;최근 107.7kg 돌...,https://www.insight.co.kr/news/496796,https://www.insight.co.kr/news/496796,"코미디언 <b>김해준</b>, 몸무게 107kg 돌파해 코미디언 <b>김해준</b>이 자신의 인생 최대 몸무게를 공개하며 화제를 모았다. 오는 28일 방송되는 코미디TV 'THE 맛있는 녀석들'에서는 속 보이는 특집으로 내장 요리인 닭내장탕과... ","Thu, 27 Mar 2025 11:18:00 +0900"
31,"'THE 맛있는 녀석들' <b>김해준</b>, 인생 최대 몸무게 공개",https://www.tfmedia.co.kr/news/article.html?no=183445,https://www.tfmedia.co.kr/news/article.html?no=183445,"녀석들' <b>김해준</b>, 인생 최대 몸무게 공개. 28일 방송되는 코미디TV 'THE 맛있는 녀석들'은 속 보이는 특집으로 내장 요리인 닭내장탕과 돼지막창구이 맛집을 소개한다. 본격적인 먹방을 위해 자리를 잡은 문세윤은 <b>김해준</b>의... ","Thu, 27 Mar 2025 10:58:00 +0900"
32,"<b>김해준</b>, 다이어트 안 하나…인생 최대 몸무게 107.7kg 찍었다('맛있는 녀...",https://sports.hankooki.com/news/articleView.html?idxno=6893367,https://sports.hankooki.com/news/articleView.html?idxno=6893367,<b>김해준</b>이 인생 최대 몸무게를 솔직하게 공개하며 웃음을 안겼다. 28일 방송되는 코미디TV 'THE 맛있는 녀석들'은 '속 보이는 특집'으로 꾸며져 닭내장탕과 돼지막창구이 맛집을 찾아 먹방을 펼친다. 예상치 못한 몸무게... ,"Thu, 27 Mar 2025 10:58:00 +0900"
33,"'THE 맛있는 녀석들' <b>김해준</b>, 인생 최대 몸무게 공개",https://www.jemin.com/news/articleView.html?idxno=793185,https://www.jemin.com/news/articleView.html?idxno=793185,"'THE 맛있는 녀석들' <b>김해준</b>, 인생 최대 몸무게 공개. 28일 방송되는 코미디TV 'THE 맛있는 녀석들... 본격적인 먹방을 위해 자리를 잡은 문세윤은 <b>김해준</b>의 심상치 않은 D라인에 배로 테이블을 밀... ","Thu, 27 Mar 2025 10:58:00 +0900"
34,"'THE맛녀석' <b>김해준</b>, 인생 몸무게 107.7kg D라인에 '폭소'",http://www.newskr.kr/news/articleView.html?idxno=98451,http://www.newskr.kr/news/articleView.html?idxno=98451,"<b>김해준</b>이 인생 최대 몸무게를 공개한다. 28일 코미디TV 'THE 맛있는 녀석들'에서 속 보이는 특집으로, 내장 요리인 닭 내장탕과 돼지 막창구이 맛집을 소개한다. 본격적인 먹방을 위해 자리를 잡은 문세윤은 <b>김해준</b>의... ","Thu, 27 Mar 2025 10:30:00 +0900"
35,"<b>김해준</b>, ♥김승혜와 결혼 후…몸무게 “107.7kg” 최고 기록 (맛녀석)",https://sports.khan.co.kr/article/202503271026003?pt=nv,https://m.entertain.naver.com/article/144/0001028296,<b>김해준</b>이 ‘맛있는 녀석들’에서 인생 최대 몸무게를 공개한다. 28일 코미디TV ‘THE 맛있는 녀석들’에서는... 본격적인 먹방을 위해 자리를 잡은 문세윤은 <b>김해준</b>의 심상치 않은(?) D라인에 “배로 테이블을 밀... ,"Thu, 27 Mar 2025 10:27:00 +0900"
36,D라인 대란… '인생 최대 몸무게' 찍었다는 <b>김해준</b> 근황 (+사진),https://www.wikitree.co.kr/articles/1037060,https://www.wikitree.co.kr/articles/1037060,<b>김해준</b>이 인생 최대 몸무게를 찍었다.오는 28일 방송되는 코미디TV ’THE 맛있는 녀석들’에서는 속 보이는... 본격적인 먹방을 위해 자리를 잡은 문세윤은 <b>김해준</b>의 심상치 않은(?) D라인에 “배로 테이블을 밀 생각이냐?... ,"Thu, 27 Mar 2025 10:24:00 +0900"
37,"'김승혜♥' <b>김해준</b>, 신혼 6개월 차에 D라인...&quot;107kg, 인생 최대&quot; (맛녀석...",https://www.xportsnews.com/article/1978295,https://m.entertain.naver.com/article/311/0001843554,<b>김해준</b>이 인생 최대 몸무게를 공개한다. 28일 오후 8시 방송되는 코미디TV 'THE 맛있는 녀석들'에서는 속... 이날 본격적인 먹방을 위해 자리를 잡은 문세윤은 <b>김해준</b>의 심상치 않은(?) D라인에 “배로 테이블을 밀... ,"Thu, 27 Mar 2025 10:02:00 +0900"
